1787203018.575503, Self-RAG Decomposed, pipeline, prepare, start, 50967796060875
1787203018.575789, Self-RAG Decomposed, Question dataloader, prepare, start, 50967796195500
1787203020.393859, Self-RAG Decomposed, Question dataloader, prepare, end, 50969614279708
1787203020.393936, Self-RAG Decomposed, Document retriever, prepare, start, 50969614347208
1787203045.821065, Self-RAG Decomposed, Document retriever, prepare, end, 50995041556250
1787203045.821980, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 50995042445916
1787203045.822265, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 50995042729500
1787203045.822419, Self-RAG Decomposed, Grader LLM, prepare, start, 50995042883125
1787203048.819043, Self-RAG Decomposed, Grader LLM, prepare, end, 50998039523833
1787203048.819538, Self-RAG Decomposed, Answer generator formatter, prepare, start, 50998040012250
1787203048.819676, Self-RAG Decomposed, Answer generator formatter, prepare, end, 50998040147333
1787203048.819722, Self-RAG Decomposed, Generator LLM, prepare, start, 50998040191750
1787203051.913441, Self-RAG Decomposed, Generator LLM, prepare, end, 51001133935041
1787203051.913730, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 51001134207500
1787203051.913843, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 51001134323791
1787203051.913901, Self-RAG Decomposed, Hallucination LLM, prepare, start, 51001134378041
1787203054.500824, Self-RAG Decomposed, Hallucination LLM, prepare, end, 51003721317791
1787203054.501047, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 51003721534291
1787203054.501191, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 51003721673291
1787203054.501239, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 51003721721083
1787203054.501343, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 51003721824958
1787203054.501461, Self-RAG Decomposed, pipeline, prepare, end, 51003721946041
1787203054.502213, Self-RAG Decomposed, pipeline - val, run, start, 57732949380992420274915858067064146609, 1787203054.502158, 1, 1, 51003722699166
1787203054.502629, Self-RAG Decomposed, Question dataloader, run, start, 51003723111875
1787203054.504212, Self-RAG Decomposed, Question dataloader, run, end, 51003724694958
1787203054.504662, Self-RAG Decomposed, Document retriever, run, start, 51003725146416
1787203057.136325, Self-RAG Decomposed, pipeline - val, run, start, 29835674556864888573549025871136921833, 1787203057.136232, 1, 2, 51006356831208
1787203057.136496, Self-RAG Decomposed, Question dataloader, run, start, 51006356984083
1787203057.136701, Self-RAG Decomposed, Question dataloader, run, end, 51006357188666
